dia;mes;ano;valor
26;5;1936;12.1
27;5;1936;9.9
28;5;1936;9.6
29;5;1936;14.7
30;5;1936;13.9
31;5;1936;14.8
1;6;1936;13.8
2;6;1936;12.4
3;6;1936;15.1
4;6;1936;12.1
5;6;1936;11.8
6;6;1936;14.7
7;6;1936;14.0
8;6;1936;14.7
9;6;1936;14.6
10;6;1936;9.5
11;6;1936;9.7
12;6;1936;13.9
13;6;1936;14.5
14;6;1936;14.6
15;6;1936;11.3
16;6;1936;12.2
17;6;1936;13.4
18;6;1936;14.6
19;6;1936;12.9
20;6;1936;7.3
21;6;1936;11.5
22;6;1936;11.2
23;6;1936;9.4
24;6;1936;10.4
25;6;1936;11.0
26;6;1936;11.5
27;6;1936;12.9
28;6;1936;14.7
29;6;1936;14.6
30;6;1936;10.3
1;7;1936;11.7
2;7;1936;8.0
3;7;1936;7.3
4;7;1936;6.6
5;7;1936;8.9
6;7;1936;10.2
7;7;1936;13.4
8;7;1936;14.5
9;7;1936;14.4
10;7;1936;13.7
11;7;1936;9.7
12;7;1936;13.8
13;7;1936;5.3
14;7;1936;10.2
15;7;1936;11.7
16;7;1936;7.8
17;7;1936;13.7
18;7;1936;11.6
19;7;1936;6.7
20;7;1936;8.4
21;7;1936;12.2
22;7;1936;15.8
23;7;1936;10.5
24;7;1936;13.6
25;7;1936;12.7
26;7;1936;14.1
27;7;1936;14.0
28;7;1936;12.8
29;7;1936;14.4
30;7;1936;12.5
31;7;1936;14.4
1;8;1936;14.7
2;8;1936;7.4
3;8;1936;5.3
4;8;1936;7.0
5;8;1936;15.4
6;8;1936;17.4
7;8;1936;16.8
8;8;1936;16.4
9;8;1936;15.3
10;8;1936;10.9
11;8;1936;14.4
12;8;1936;18.0
13;8;1936;17.1
14;8;1936;16.5
15;8;1936;18.3
16;8;1936;16.0
17;8;1936;15.2
18;8;1936;18.7
19;8;1936;18.6
20;8;1936;15.0
21;8;1936;9.4
22;8;1936;9.8
23;8;1936;10.7
24;8;1936;15.0
25;8;1936;12.5
26;8;1936;13.1
27;8;1936;16.3
28;8;1936;16.7
29;8;1936;15.1
30;8;1936;12.7
31;8;1936;16.4
1;9;1936;17.7
2;9;1936;19.8
3;9;1936;10.9
4;9;1936;12.2
5;9;1936;18.8
6;9;1936;16.2
7;9;1936;16.0
8;9;1936;21.4
9;9;1936;21.7
10;9;1936;21.4
11;9;1936;21.9
12;9;1936;5.8
13;9;1936;12.9
14;9;1936;16.7
15;9;1936;16.9
16;9;1936;18.0
17;9;1936;18.9
18;9;1936;19.0
19;9;1936;15.5
20;9;1936;11.1
21;9;1936;10.3
22;9;1936;9.6
23;9;1936;6.1
24;9;1936;5.9
25;9;1936;8.9
26;9;1936;9.0
27;9;1936;12.3
28;9;1936;5.8
29;9;1936;12.0
30;9;1936;15.2
1;10;1936;7.3
2;10;1936;13.4
3;10;1936;17.9
4;10;1936;6.5
5;10;1936;6.8
6;10;1936;5.5
7;10;1936;5.7
8;10;1936;8.1
9;10;1936;5.7
10;10;1936;16.1
11;10;1936;15.2
12;10;1936;16.4
13;10;1936;22.8
14;10;1936;24.4
15;10;1936;24.6
16;10;1936;15.6
17;10;1936;20.6
18;10;1936;6.9
19;10;1936;16.6
20;10;1936;22.8
21;10;1936;6.3
22;10;1936;8.5
23;10;1936;8.7
24;10;1936;9.3
25;10;1936;9.3
26;10;1936;9.7
27;10;1936;10.7
28;10;1936;15.3
29;10;1936;17.7
30;10;1936;14.7
31;10;1936;10.1
1;11;1936;15.4
2;11;1936;15.6
3;11;1936;20.2
4;11;1936;19.1
5;11;1936;15.1
6;11;1936;18.9
7;11;1936;19.8
8;11;1936;20.9
9;11;1936;21.0
10;11;1936;18.3
11;11;1936;17.5
12;11;1936;11.5
13;11;1936;17.9
14;11;1936;22.7
15;11;1936;25.9
16;11;1936;19.5
17;11;1936;8.4
18;11;1936;11.1
19;11;1936;11.4
20;11;1936;10.7
21;11;1936;20.6
22;11;1936;23.0
23;11;1936;18.9
24;11;1936;7.9
25;11;1936;11.7
26;11;1936;16.2
27;11;1936;19.3
28;11;1936;25.3
29;11;1936;26.7
30;11;1936;20.6
1;12;1936;10.6
2;12;1936;15.4
3;12;1936;20.8
4;12;1936;16.8
5;12;1936;23.0
6;12;1936;13.4
7;12;1936;11.6
8;12;1936;12.8
9;12;1936;19.4
10;12;1936;27.0
11;12;1936;17.3
12;12;1936;5.6
13;12;1936;10.9
14;12;1936;13.4
15;12;1936;21.9
16;12;1936;27.0
17;12;1936;13.1
18;12;1936;26.1
19;12;1936;17.5
20;12;1936;16.2
21;12;1936;11.5
22;12;1936;17.3
23;12;1936;15.6
24;12;1936;21.9
25;12;1936;18.7
26;12;1936;24.0
27;12;1936;26.7
28;12;1936;23.4
29;12;1936;18.7
30;12;1936;23.4
31;12;1936;25.3
1;1;1937;16.7
2;1;1937;18.0
3;1;1937;19.4
4;1;1937;17.4
5;1;1937;24.3
6;1;1937;20.6
7;1;1937;11.7
8;1;1937;10.8
9;1;1937;12.7
10;1;1937;14.7
11;1;1937;7.4
12;1;1937;23.0
13;1;1937;23.1
14;1;1937;17.1
15;1;1937;13.0
16;1;1937;14.8
17;1;1937;16.4
18;1;1937;10.4
19;1;1937;13.4
20;1;1937;22.9
21;1;1937;24.7
22;1;1937;15.0
23;1;1937;22.9
24;1;1937;27.5
25;1;1937;27.5
26;1;1937;26.1
27;1;1937;11.1
28;1;1937;12.5
29;1;1937;16.4
30;1;1937;17.0
31;1;1937;13.3
1;2;1937;18.8
2;2;1937;15.8
3;2;1937;26.2
4;2;1937;23.6
5;2;1937;19.2
6;2;1937;14.3
7;2;1937;9.0
8;2;1937;6.2
9;2;1937;8.3
10;2;1937;16.9
11;2;1937;21.8
12;2;1937;25.3
13;2;1937;20.6
14;2;1937;24.2
15;2;1937;19.5
16;2;1937;23.3
17;2;1937;19.9
18;2;1937;22.7
19;2;1937;20.6
20;2;1937;22.6
21;2;1937;26.4
22;2;1937;26.8
23;2;1937;24.8
24;2;1937;24.7
25;2;1937;22.9
26;2;1937;14.4
27;2;1937;18.6
28;2;1937;10.7
1;3;1937;14.6
2;3;1937;20.7
3;3;1937;16.9
4;3;1937;12.1
5;3;1937;11.6
6;3;1937;24.4
7;3;1937;24.3
8;3;1937;24.3
9;3;1937;22.4
10;3;1937;23.2
11;3;1937;22.9
12;3;1937;21.5
13;3;1937;21.5
14;3;1937;19.3
15;3;1937;16.9
16;3;1937;17.8
17;3;1937;20.2
18;3;1937;20.6
19;3;1937;21.9
20;3;1937;18.9
21;3;1937;19.8
22;3;1937;18.9
23;3;1937;10.0
24;3;1937;6.1
25;3;1937;8.1
26;3;1937;19.2
27;3;1937;19.3
28;3;1937;12.0
29;3;1937;15.0
30;3;1937;16.3
31;3;1937;17.8
1;4;1937;14.3
2;4;1937;16.8
3;4;1937;15.5
4;4;1937;18.1
5;4;1937;18.7
6;4;1937;10.1
7;4;1937;10.5
8;4;1937;15.6
9;4;1937;20.0
10;4;1937;17.2
11;4;1937;17.8
12;4;1937;17.2
13;4;1937;19.6
14;4;1937;18.7
15;4;1937;16.3
16;4;1937;5.3
17;4;1937;13.6
18;4;1937;15.1
19;4;1937;14.3
